Departement,Adresse,Ville,Code postale,E10,E85,SP98,GAZOLE,Latitude,Longitude
81,185 av de roquecourbe,CASTRES,81100,,,,,4361700,224400
81,ROUTE DE REVEL,Puylaurens,81700,1.79 €,0.80 €,1.88 €,1.88 €,4356700,200600
81,42 Avenue du Général de Gaulle,RéALMONT,81120,1.88 €,,1.99 €,1.97 €,4377200,218300
81,246 Avenue Colonel Teyssier,Albi,81000,1.82 €,0.83 €,1.90 €,1.84 €,4392200,216600
81,BOULEVARD CARNOT,Castres,81100,1.80 €,,1.95 €,1.88 €,4360700,224500
81,185 Avenue de Roquecourbe,Castres,81100,,,,,4361490,224389
81,9 Av de Carmaux,Mirandol-Bourgnounac,81190,,,,,4413775,216595
81, Chemin de Castres Ã  Brassac,BRASSAC,81260,,,,,4362471,247854
81,11 BIS ROUTE DE TOULOUSE,SAIX,81710,1.80 €,0.86 €,1.91 €,1.88 €,4358591,217207
81,Avenue Rhin et Danube,GRAULHET,81300,,,,2.11 €,4376100,197200
81,23 avenue de Toulouse,Marssac-sur-Tarn,81150,1.90 €,,2.01 €,1.97 €,4391900,202900
81,Route de Carmaux,Lescure-d'Albigeois,81380,1.80 €,0.79 €,1.82 €,1.82 €,4395500,215600
81,Chemin de Cap Long,Le Sequestre,81990,1.80 €,0.85 €,1.82 €,1.82 €,4391200,212700
81,40 ROUTE DE CORDES,ALBI,81000,1.87 €,,1.97 €,2.02 €,4395000,212300
81,Route de l'Aéroport,Labruguière,81290,1.78 €,0.85 €,,1.90 €,4354830,227344
81,ROND POINT RHIN ET DANUBE,GRAULHET,81300,1.87 €,0.80 €,2.00 €,1.90 €,4376100,197000
81,Rue Henri Antoine,LACAUNE,81230,1.80 €,0.89 €,,1.92 €,4370900,269800
81,Le Bourg,Lalbarède,81220,,,2.30 €,2.20 €,4364323,204636
81,RD 112,AUSSILLON,81200,1.78 €,,1.88 €,1.90 €,4351153.8214165,237596.65502906
81,Route de Toulouse,GAILLAC,81600,,,1.85 €,1.88 €,4387700,190800
81,6  avenue Alphonse Pacifique,Saint-Juéry,81160,,,1.85 €,1.85 €,4395039.22196,220999.332738
81,SORTIE 5 A68 - ZAC PORTES DU TARN,Saint-Sulpice-la-Pointe,81370,1.78 €,0.86 €,1.89 €,1.85 €,4375300,165900
