Departement,Adresse,Ville,Code postale,E10,E85,SP98,GAZOLE,Latitude,Longitude
93,32 AV DE ROSNY,VILLEMOMBLE,93250,1.98 €,0.92 €,2.10 €,2.09 €,4888500,250500
93,41 RUE ALBERT DHALENNE,Saint-Ouen,93400,1.98 €,,2.09 €,2.06 €,4891608,233077
93,126 Avenue Victor Hugo,Aubervilliers,93300,2.03 €,,2.18 €,2.11 €,4891195.6787623,238002.06560828
93,112 AV P. VAILLANT COUTURIER,ST DENIS,93200,2.08 €,0.91 €,2.20 €,2.16 €,4893500,236800
93,9 TER BD MARECHAL FOCH,Neuilly-sur-Marne,93330,1.93 €,0.86 €,2.04 €,2.01 €,4885427,252019
93,274 avenue Jean-Jaures,DRANCY,93700,2.04 €,,2.16 €,2.10 €,4891285.15,246301.27
93,54 AVENUE LOUIS ARAGON,BOBIGNY,93000,1.84 €,,,1.94 €,4891446.37,244073.26
93,33 Avenue Médéric,Noisy-le-Grand,93160,1.95 €,,2.06 €,2.01 €,4883000,256100
93,300 Avenue Paul Vaillant-Couturier,Bobigny,93000,2.03 €,,2.15 €,2.09 €,4890650,245646
93,48-54 BOULEVARD THEOPHILE SUEUR,MONTREUIL,93100,1.89 €,0.88 €,2.00 €,1.97 €,4886885,247055
93,2 AV DU 8 MAI 1945,Le Blanc-Mesnil,93150,1.85 €,0.89 €,1.97 €,1.94 €,4894800,243800
93,108 Avenue Gallieni,Bondy,93140,1.85 €,,1.94 €,1.95 €,4890600,248100
93,205 Avenue Gallieni,Bondy,93140,1.84 €,,1.95 €,1.94 €,4890700,248900
93,60 - 68 PAUL VAILLANT COUTURIER,Le Blanc-Mesnil,93150,2.03 €,,2.15 €,2.09 €,4892779.23,247399.54
93,2 Rue des Hauts-Châteaux,Noisy-le-Grand,93160,1.89 €,,1.99 €,1.96 €,4884300,257700
93,44-48 AVENUE DE LA REPUBLIQUE,BAGNOLET,93170,1.99 €,,2.10 €,2.05 €,4886205,241650
93,22 Route de Neuilly,Noisy-le-Grand,93160,1.87 €,,1.99 €,1.94 €,4885100,253500
93,107 AVENUE JULES GUESDE,GAGNY,93220,,,,,4887979.626,254598.114
93,17 AVENUE MARCEL CACHIN,STAINS,93240,1.86 €,,1.97 €,1.94 €,4895763,238253
93,238 RUE DE PARIS,LES LILAS,93260,1.87 €,0.87 €,1.97 €,1.94 €,4888021,241759
93,DEVIATION CD 88 - 1 ROUTE DE ROI,Tremblay-en-France,93290,,,2.09 €,2.04 €,4898407,255021
93,100 RUE CHARLES TILLON,AUBERVILLIERS,93300,2.03 €,,2.18 €,2.11 €,4891900,239400
93,29 Avenue du Général Leclerc,SEVRAN,93270,2.05 €,,2.15 €,2.12 €,4893900,252663
93,29-33 BLD DU MARECHAL FOCH,Neuilly-sur-Marne,93330,1.86 €,,1.98 €,1.93 €,4885523,252475
93,7/9 AV DU 8 MAI 1945,LE BOURGET,93350,1.85 €,0.87 €,1.97 €,1.94 €,4894164.08822,243166.533848
93,42  BOULEVARD JEAN MERMOZ,Pierrefitte-sur-Seine,93380,1.83 €,0.85 €,1.95 €,1.92 €,4896609.70452,236413.094302
93,56-74 AVENUE MICHELET,Saint-Ouen,93400,1.94 €,,2.05 €,2.04 €,4890802,234408
93,226-232 AVENUE DU 8 MAI 1945,DUGNY,93440,1.96 €,,2.07 €,2.04 €,4895170,241673
93,Rue des Buttes,Villepinte,93420,2.04 €,,2.16 €,2.10 €,4897468,249640
93,86 Avenue de Lattre de Tassigny,Épinay-sur-Seine,93800,1.85 €,,1.99 €,1.94 €,4896000,230400
93,12/14 BD.GABRIEL PERI - TOTAL,Rosny-sous-Bois,93110,1.93 €,0.88 €,2.04 €,2.03 €,4887800,248200
93,43 Avenue du Président Roosevelt,Aubervilliers,93300,2.03 €,,2.18 €,2.11 €,4891792,237914
93,64 Rue de Meaux,Vaujours,93410,2.03 €,,2.15 €,2.10 €,4893463,256721
93,62-68 ROUTE DES PETITS PONTS,Tremblay-en-France,93290,1.87 €,0.85 €,1.98 €,1.93 €,4896372,256421
93,3 CHEMIN DE MEAUX,Neuilly-Plaisance,93360,,,2.25 €,2.14 €,4886200,251000
93,86 RUE DE PARIS,MONTREUIL,93100,1.88 €,0.88 €,1.99 €,1.96 €,4885701,242974
93,4 Boulevard du Maréchal Foch,NOISY LE GRAND,93160,1.95 €,,2.00 €,2.06 €,4884500,252800
93,140 AVENUE DE LA REPUBLIQUE,Le Blanc-Mesnil,93150,1.95 €,0.88 €,2.06 €,,4893500,247300
93,262 AVENUE ARISTIDE BRIAND,Les Pavillons-sous-Bois,93320,1.94 €,0.86 €,2.05 €,2.02 €,4891042.70577,251041.120111
93,ZONE DE PARINOR SECTEUR N°2,AULNAY-SOUS-BOIS,93600,1.90 €,0.85 €,2.00 €,2.00 €,4895500,247600
93,19 AV JEAN JAURES,BOBIGNY,93000,1.93 €,,2.05 €,2.01 €,4890600,244500
93,69  AVENUE ARISTIDE BRIAND,LIVRY GARGAN,93190,1.98 €,,2.10 €,2.07 €,4891200,251900
93,16 Boulevard Aristide Briand,Montreuil,93100,2.07 €,,2.19 €,2.14 €,4886900,244800
93,107 RUE DE BREMENT,Noisy-le-Sec,93130,1.98 €,0.92 €,2.10 €,2.04 €,4888800,246000
93,175 AV MAL GALLIENI,BONDY,93140,1.98 €,,2.08 €,2.05 €,4890700,248500
93,137 Avenue Aristide Briand,LIVRY-GARGAN,93190,2.03 €,0.87 €,2.15 €,2.10 €,4891435,252625
93,32 Rue Jacques Duclos,AULNAY-SOUS-BOIS,93600,2.09 €,,,2.13 €,4894473,249567
93,207-213 AVENUE DU PDT WILSON,La plaine-saint-denis,93210,1.97 €,,2.08 €,2.04 €,4891232,235758
93,159 Route de Saint-Leu,EPINAY SUR SEINE,93800,1.87 €,0.83 €,2.00 €,1.95 €,4895429,233477
93,Rue de la Chasse,Noisy-le-Sec,93130,2.08 €,,2.20 €,2.14 €,4888000,245700
93,RUE MICHEL ANGE ROUTE N 370,AULNAY SOUS BOIS,93600,2.00 €,,2.15 €,2.08 €,4895300,248600
93,22 AVENUE LENINE,ROMAINVILLE,93230,1.94 €,,2.05 €,2.03 €,4888400,243000
93,AVENUE G CLEMENCEAU CD 40,VILLEPINTE,93420,2.02 €,,2.14 €,2.07 €,4895700,256000
93,A1 SENS LILLE/PARIS REP 5.541,LA COURNEUVE,93120,1.90 €,,2.01 €,1.95 €,4893458.7,239392.3
93,53 ROUTE DE SAINT LEU,Épinay-sur-Seine,93800,1.96 €,0.85 €,2.07 €,2.04 €,4894900,234300
93,50 avenue john fitzgerald kennedy,SEVRAN,93270,2.05 €,,2.29 €,2.12 €,4893600,251500
93,140 Rue de Paris,NOISY-LE-SEC,93130,1.94 €,,2.09 €,2.01 €,4890200,245900
93,130-132 AVENUE DU GENERAL LECLERC,PANTIN,93500,1.87 €,,1.97 €,1.94 €,4890037,241083
93,185 BD JEAN MERMOZ,Pierrefitte-sur-Seine,93380,1.83 €,0.85 €,1.95 €,1.92 €,4897346.84862,236584.64324
93,ZAC DES PRES CD N° 136,COUBRON,93470,1.91 €,0.85 €,2.01 €,1.99 €,4891494.82222,258891.982135
93,BLD MARC CHAGALL,Aulnay-sous-Bois,93600,1.95 €,,2.06 €,2.04 €,4895300,249700
93,86 rue de paris,Montreuil,93100,1.91 €,0.88 €,2.02 €,1.98 €,4885695.857583,242906.49698364
93,CENTRE REGIONAL MONT D EST,Noisy-le-Grand,93160,1.95 €,0.86 €,2.06 €,2.04 €,4884166,254880
93,8 Avenue de Rosny-sous-Bois,Villemomble,93250,1.98 €,,2.13 €,2.09 €,4888500,250700
93,62-64 AVENUE DE LA REPUBLIQUE,AUBERVILLIERS,93300,1.95 €,0.88 €,2.06 €,2.04 €,4890900,238600
93,35-39 AVENUE HENRI BARBUSSE,DRANCY,93700,1.97 €,0.89 €,2.08 €,2.04 €,4891625,244355
93,AVENUE JEAN JAURES,Neuilly-sur-Marne,93330,1.89 €,,2.01 €,1.95 €,4886583.6168664,256269.534165
93,12 Allée de la Fosse-Maussoin,CLICHY-SOUS-BOIS,93390,1.86 €,,1.96 €,1.96 €,4890700,253200
