Departement,Adresse,Ville,Code postale,E10,E85,SP98,GAZOLE,
88,4 AVENUE DE VERDUN,SAINT-DIE-DES-VOSGES,88100,1.93 €,,2.03 €,2.00 €,
88,23 Rue du pré Paradis,MIRECOURT,88500,,,2.16 €,2.13 €,
88,41 rue de la Moselotte,Saint-Étienne-lès-Remiremont,88200,1.99 €,,2.10 €,2.03 €,
88,30 Rue de Remiremont,ÉPINAL,88000,2.00 €,,2.10 €,2.04 €,
88,Zac de la Croisette,Gérardmer,88400,1.91 €,0.85 €,2.00 €,2.00 €,
88,35 Avenue de Verdun,LE THILLOT,88160,1.91 €,,1.99 €,1.96 €,
88,68 BOULEVARD KELSCH,GERARDMER,88400,1.88 €,,,1.97 €,
88,20 Avenue de Verdun,LE THILLOT,88160,1.98 €,,2.09 €,2.00 €,
88,ROUTE DE ST ANNNE,Saint-Nabord,88200,1.88 €,,1.99 €,1.98 €,
88,51 route de Remiremont,EPINAL,88000,1.97 €,,2.07 €,2.00 €,
88,Aire de Lorraine Sandaucourt Trel,SANDAUCOURT,88170,2.10 €,,2.23 €,2.17 €,
88,Rue du Docteur Henri Larue,Senones,88210,1.90 €,,,1.95 €,
88,RN 57,SAINT-NABORD,88200,1.95 €,,,2.02 €,
88,18 Rue de la Vallée de l'Aitre,Xertigny,88220,1.93 €,,,1.97 €,
88,24 AVENUE HERRINGEN,NEUFCHATEAU,88300,1.91 €,0.88 €,1.99 €,1.95 €,
88,750 Rue Paul Melin Prolongé,Neufchâteau,88300,,,2.07 €,1.96 €,
88,183 Rue Ernest Charlier,SAINTE-MARGUERITE,88100,1.94 €,0.88 €,2.04 €,1.97 €,
88,21  Rue Paul CLAUDEL,LA BRESSE,88250,,,2.05 €,2.00 €,
88,AV DIVISION LECLERC,CONTREXEVILLE,88140,1.87 €,,1.98 €,1.92 €,
88,5 Rue Marcel Mauss,Saint-Dié-des-Vosges,88100,,,2.01 €,1.95 €,
88,Rue de Verdun,MéNIL-EN-XAINTOIS,88500,,,,2.13 €,
88,Avenue de Saint-Dié,Épinal,88000,,,2.06 €,1.98 €,
88,RUE RAYMOND PANIN,Saulcy-sur-Meurthe,88580,1.98 €,,2.09 €,2.04 €,
88,rue du lieutenant gauffre,VITTEL,88800,,,1.99 €,1.95 €,
88,3 Avenue François de Neufchateau,Neufchâteau,88300,,,,2.06 €,
88,68 Rue d'Alsace,Nomexy,88440,1.89 €,1.00 €,,1.95 €,
88,814 ROUTE DU BEU,Saulxures-sur-Moselotte,88290,2.00 €,,2.12 €,2.03 €,
88,500 ROUTE DE LEPANGES,Laval-sur-Vologne,88600,,,,2.03 €,
88,Rue Abel Ferry,Bruyères,88600,1.95 €,,,2.00 €,
88,196 Rue de Lorraine,THAON-LES-VOSGES,88150,2.00 €,,2.02 €,1.98 €,
88,22 ZA DU CENTRE,LE VAL-D'AJOL,88340,1.97 €,,2.08 €,2.00 €,
88,71 ZI LE NEUILLY,Châtenois,88170,1.99 €,,2.10 €,2.03 €,
88,1 rue de Lorraine,Saint-Maurice-sur-Moselle,88560,2.20 €,,2.30 €,2.19 €,
88,104  avenue Victor Hugo,MIRECOURT,88500,,,2.10 €,2.03 €,
88,10 Rue René Didierjean,CHARMES,88130,1.95 €,,2.05 €,1.98 €,
88,Rue du Général Leclerc,Golbey,88190,1.95 €,,2.00 €,1.98 €,
88,GRAND RUE,La Bresse,88250,1.99 €,,2.10 €,2.04 €,
88,Place de la Gare,CORNIMONT,88310,1.90 €,,,1.98 €,
88,AUT.A31-AIRE DE LORRAINE SANDAUCOURT-LES RAPPES,SANDAUCOURT,88170,1.91 €,0.91 €,2.02 €,2.00 €,
88,104 RUE DE COLMAR,anould,88650,2.00 €,,2.11 €,2.03 €,
88,Rue du Général de Gaulle,NEUFCHâTEAU,88300,1.97 €,,,2.03 €,
88,2 Route de Joinville,Liffol-le-Grand,88350,,,2.05 €,1.99 €,
88,27 rue d'Alsace,THAON-LES-VOSGES,88150,2.03 €,,2.06 €,2.00 €,
