Departement,Adresse,Ville,Code postale,E10,E85,SP98,GAZOLE,
65,97 AV.DE TOULOUSE,SéMéAC,65600,,0.91 €,,2.02 €,
65,BD DE LATTRE DE TASSIGNY,Tarbes,65000,1.91 €,0.91 €,2.01 €,1.94 €,
65,4 Avenue François Abadie,Lourdes,65100,1.90 €,,2.04 €,1.93 €,
65,25 BOULEVARD DE LAPACCA,LOURDES,65100,,0.89 €,2.02 €,1.91 €,
65,13 route de Lourdes,Juillan,65290,1.90 €,0.91 €,2.00 €,2.00 €,
65,ROUTE DE SAINT LARY,SARRANCOLIN,65410,1.95 €,,2.05 €,2.09 €,
65,route pierrefitte,Cauterets,65110,,,2.26 €,2.20 €,
65,5 rue francis cruzel,Rabastens-de-Bigorre,65140,,,2.09 €,2.05 €,
65,D 817,TOURNAY,65190,,,,2.07 €,
65,Route de Pau,IBOS,65420,1.90 €,0.89 €,2.00 €,1.93 €,
65,AVENUE DU MARECHAL JOFFRE,TARBES,65000,1.90 €,0.89 €,2.00 €,1.93 €,
65, Route de Tarbes,CAMPISTROUS,65300,2.06 €,0.91 €,2.18 €,2.14 €,
65,LIEU DIT PLAS,ARREAU,65240,,,2.17 €,2.11 €,
65,265 Route de Toulouse,LANNEMEZAN,65300,,,2.09 €,2.05 €,
65,route de Bagnères,LALOUBERE,65310,1.97 €,,2.08 €,1.99 €,
65,ROUTE DE VIELLE AURE,Bourisp,65170,,,2.05 €,2.00 €,
65,5 Avenue François ABADIE,Lourdes,65100,1.89 €,0.88 €,2.00 €,1.93 €,
65,21 ROUTE DE BORDEAUX,bazet,65460,1.90 €,,2.01 €,2.01 €,
65,ROUTE DE TARBES,Vic-en-Bigorre,65500,1.90 €,,2.01 €,2.01 €,
65,ROUTE NATIONALE,Loures-Barousse,65370,,,2.11 €,2.00 €,
65,Rue Lucien Pourxet,LOURDES,65100,2.00 €,0.89 €,,2.00 €,
65,centre commercial Val d'Adour,Maubourguet,65700,1.90 €,,2.00 €,1.99 €,
65,Avenue de Bagnères,Tournay,65190,2.03 €,,2.13 €,1.96 €,
65,27 AVENUE DES PYRENEES,Argelès-Gazost,65400,1.92 €,0.89 €,1.98 €,1.93 €,
65,86 Avenue François Mitterrand,Séméac,65600,null,null,null,null,
65,32  avenue du Général de Gaulle,ARGELES-GAZOST,65400,,,2.07 €,2.05 €,
65,ROUTE DE TOULOUSE,CASTELNAU-MAGNOAC,65230,,0.85 €,1.99 €,1.99 €,
65,3150 RN 117,CAPVERN,65130,,0.85 €,,1.98 €,
65,2 RUE OSMIN RICAU,Vic-en-Bigorre,65500,1.95 €,,2.02 €,1.96 €,
65,Place Germain Claverie,TARBES,65000,,,2.05 €,2.04 €,
65,rue du XI novembre,AUREILHAN,65800,,,2.04 €,1.97 €,
65,ROUTE DES COLS,BAGNèRES-DE-BIGORRE,65200,1.95 €,,2.06 €,2.02 €,
65,Route de Saint Lary,ANCIZAN,65440,1.89 €,0.85 €,2.00 €,2.00 €,
65,21 Avenue du Barege,ESQUIèZE-SèRE,65120,,,2.17 €,2.02 €,
65,quartier larise,SALIGOS,65120,2.00 €,,2.12 €,2.08 €,
65,83 Avenue de la Mongie,POUZAC,65200,1.90 €,,2.05 €,1.95 €,
65, Boulevard Lacaussade,TARBES,65000,,,2.25 €,1.99 €,
65,CENTRE COMMERCIAL LA RAMONDIA,LANNEMEZAN,65300,1.90 €,,1.99 €,1.98 €,
65,Avenue François Abadie,Lourdes,65100,1.84 €,,,1.91 €,
65,Loudenvielle,LOUDENVIELLE,65510,2.02 €,,2.07 €,2.03 €,
65,Route de Tarbes,Lalanne-Trie,65220,1.95 €,0.88 €,2.05 €,1.98 €,
65,87 Rue Alsace Lorraine,Tarbes,65000,1.92 €,0.91 €,2.05 €,1.95 €,
65,Route d'Auch,ORLEIX,65800,1.92 €,0.89 €,2.03 €,1.94 €,
65,1 rue Jean Perrin,TARBES,65000,1.90 €,0.89 €,2.00 €,1.93 €,
65,77 AVENUE DE LA MONGIE,POUZAC,65200,2.06 €,0.91 €,2.17 €,2.11 €,
65,2 Quai Rossignol,VIC-EN-BIGORRE,65500,,0.88 €,2.05 €,1.99 €,
65,26 Avenue Geruzet,Bagnères-de-Bigorre,65200,,,2.05 €,2.02 €,
65,Route du stade,ARGELES GAZOST,65400,,,2.00 €,1.96 €,
