Departement,Adresse,Ville,Code postale,E10,E85,SP98,GAZOLE
81,185 av de roquecourbe,CASTRES,81100,null,null,null,null
81,ROUTE DE REVEL,Puylaurens,81700,1.83 €,0.85 €,1.99 €,1.92 €
81,23 avenue de Toulouse,Marssac-sur-Tarn,81150,1.97 €,,2.08 €,2.01 €
81,42 Avenue du Général de Gaulle,RéALMONT,81120,1.93 €,,2.04 €,2.00 €
81,246 Avenue Colonel Teyssier,Albi,81000,1.89 €,0.84 €,1.97 €,1.97 €
81,BOULEVARD CARNOT,Castres,81100,1.85 €,,1.96 €,1.90 €
81,185 Avenue de Roquecourbe,Castres,81100,null,null,null,null
81,9 Av de Carmaux,Mirandol-Bourgnounac,81190,null,null,null,null
81, Chemin de Castres Ã  Brassac,BRASSAC,81260,null,null,null,null
81,11 BIS ROUTE DE TOULOUSE,SAIX,81710,1.85 €,0.86 €,1.96 €,1.90 €
81,Chemin de Cap Long,Le Sequestre,81990,1.87 €,0.88 €,1.98 €,1.95 €
81,Avenue Rhin et Danube,GRAULHET,81300,,,,2.11 €
81,Route de Carmaux,Lescure-d'Albigeois,81380,1.87 €,0.80 €,1.98 €,1.95 €
81,Route de Toulouse,GAILLAC,81600,,0.85 €,1.97 €,1.97 €
81,40 ROUTE DE CORDES,ALBI,81000,1.87 €,,1.97 €,2.02 €
81,Route de l'Aéroport,Labruguière,81290,1.88 €,0.85 €,,1.95 €
81,ROND POINT RHIN ET DANUBE,GRAULHET,81300,1.88 €,0.85 €,2.00 €,1.93 €
81,Rue Henri Antoine,LACAUNE,81230,1.83 €,0.92 €,,1.96 €
81,Le Bourg,Lalbarède,81220,,,2.30 €,2.22 €
81,ROUTE D ALBI,LIVERS-CAZELLES,81170,1.94 €,0.87 €,2.06 €,2.07 €
81,RD 112,AUSSILLON,81200,1.79 €,,1.88 €,1.93 €
81,6  avenue Alphonse Pacifique,Saint-Juéry,81160,,,2.05 €,1.99 €
81,SORTIE 5 A68 - ZAC PORTES DU TARN,Saint-Sulpice-la-Pointe,81370,1.83 €,0.86 €,1.94 €,1.89 €
81,boulevard du thoré,aussillon,81200,,,,1.92 €
81,254 Avenue des Terres Noires,SAINT-SULPICE-LA-POINTE,81370,1.87 €,0.77 €,2.00 €,1.94 €
81,Avenue du Maréchal Juin,GRAULHET,81300,1.87 €,0.90 €,2.03 €,1.93 €
81,1 rue d'al causse,PUYGOUZON,81990,,0.79 €,1.97 €,1.98 €
81,PLACE RENE CASSIN,LAVAUR,81500,1.95 €,0.81 €,2.05 €,2.00 €
81,2 Rue Francisco Goya,ALBI,81000,1.93 €,,,2.00 €
81,1 avenue Georges Pompidou,CASTRES,81100,1.95 €,0.94 €,2.04 €,1.94 €
81,zone de xansos route de Graulhet,BRENS,81600,,0.85 €,,1.97 €
81,zone artisanale bel air,LACAUNE,81230,1.99 €,,2.09 €,2.05 €
81,Le Puech,PAMPELONNE,81190,,0.96 €,,1.97 €
81,120 Avenue François Verdier,Albi,81000,1.95 €,,2.02 €,2.13 €
81,C.C LES PORTES ALBI/FONLABOUR,Albi,81000,1.87 €,0.80 €,1.98 €,1.95 €
81,Rue de la Sigalarie,Cagnac-les-Mines,81130,1.87 €,,1.98 €,1.95 €
81,ZA GARRIGUE LONGUE,MONTANS,81600,2.03 €,,2.13 €,2.05 €
81,27 Rue de la Bouriotte,Réalmont,81120,1.86 €,0.88 €,1.97 €,1.93 €
81,19 Avenue Marcel Pagnol,GRAULHET,81300,1.88 €,0.85 €,2.00 €,1.90 €
81,105 ROUTE DE TEILLET,Albi,81000,,,2.15 €,2.06 €
81,AVENUE AUGUSTE MILHES,Saint-Sulpice-la-Pointe,81370,,,2.13 €,1.96 €
81,Lieu-dit Saint-Martin,Puylaurens,81700,,,2.06 €,1.96 €
81,54 BOULEVARD DU THORE,AUSSILLON,81200,,,2.11 €,2.00 €
81,2 Allée des Auques,Aussillon,81200,1.86 €,0.85 €,1.95 €,1.95 €
81,97 Avenue Albert Thomas,Carmaux,81400,,,,2.03 €
81, Rue Henri Stendhal,CARMAUX,81400,1.87 €,0.85 €,1.98 €,1.95 €
81,13 Avenue de Millau,Alban,81250,,,,1.97 €
81,LIEU DIT L'HERMITAGE,Rabastens,81800,1.88 €,0.88 €,2.02 €,1.94 €
81,Route d'Albi,Rabastens,81800,,1.15 €,,1.93 €
81,ZA de la Prade,SOUAL,81580,1.85 €,0.85 €,1.99 €,1.94 €
81,ROUTE DE SAINT SULPICE,LAVAUR,81500,1.97 €,0.81 €,2.02 €,1.96 €
81,LIEU DIT LES ROBERTES,Lisle-sur-Tarn,81310,1.87 €,,2.02 €,1.93 €
81,RouTE DE Saint JUERY LA RENAUDIE,Albi,81000,2.05 €,,2.13 €,2.05 €
81,Route de Millau,Villefranche-d'Albigeois,81430,,,,2.08 €
81,RUE FRANCOIS COUPERIN C.C LAMEILHE,CASTRES,81100,1.87 €,0.88 €,2.05 €,1.94 €
81,ROUTE DE MAZAMET - ZONE DU SIALA,CASTRES,81100,1.92 €,0.94 €,2.02 €,1.95 €
81,Route de Castres,BRASSAC,81260,,,2.12 €,2.03 €
81,3 rue des trois buissons,Albi,81000,,,1.95 €,1.94 €
81,CD 54 - RN 112 lieu dit Lagarrigue,Bout-du-Pont-de-Larn,81660,1.86 €,,1.95 €,1.95 €
81,AVENUE DU LANGUEDOC,Murat-sur-Vèbre,81320,,,2.08 €,1.99 €
81,9 Boulevard Gambetta,LABRUGUIèRE,81290,,,2.13 €,2.07 €
81,102 Route de Lavaur,Saint-Sulpice-la-Pointe,81370,,,,2.09 €
81,ROUTE DE TOULOUSE,Lisle-sur-Tarn,81310,1.91 €,,2.02 €,2.00 €
81,Lieu-Dit Plombières,CASTRES,81100,1.92 €,0.94 €,2.02 €,1.95 €
81,10  Rue Albert Calmette,Castres,81100,1.85 €,,1.96 €,1.94 €
81,Avenue Jacques Besse,Lavaur,81500,1.84 €,0.85 €,2.00 €,1.90 €
81,154 Avenue Charles de Gaulle,CASTRES,81100,1.98 €,,2.09 €,2.02 €
81,2 passage du verrier,Sorèze,81540,2.06 €,0.81 €,2.14 €,2.12 €
81,lieu dit ginestous,Alban,81250,1.90 €,,1.98 €,1.95 €
81,90 Avenue Saint-Exupéry,GAILLAC,81600,,,2.14 €,2.10 €
81,19 Avenue Rhin et Danube,Gaillac,81600,1.87 €,0.85 €,1.97 €,1.97 €
81,150 Avenue d'Albi,BLAYE-LES-MINES,81400,1.98 €,0.85 €,1.98 €,1.95 €
81,Boulevard Pierre Mendès France,Castres,81100,1.85 €,0.85 €,,1.94 €
81,1 Rue de Mélaudie,LE SEQUESTRE,81990,,,,2.07 €
