Departement,Adresse,Ville,Code postale,E10,E85,SP98,GAZOLE,Latitude,Longitude
91,Rond Point des Coudray,ÉTIOLLES,91450,,,1.79 €,2.00 €,4863900,245800
91,180 ROUTE NATIONALE 7,ATHIS-MONS,91200,1.71 €,,1.79 €,1.98 €,4871200,237100
91,RN7 RUE ALBERT REMY,Ris-Orangis,91130,1.55 €,0.78 €,1.66 €,1.80 €,4865700,240700
91,46 avenue du 8 mai 1945,CORBEIL ESSONNES,91100,1.73 €,,1.81 €,2.03 €,4861113.6939679,245211.81995589
91,Z.A.C. de l'Aunaye,Ballancourt-sur-Essonne,91610,,,1.79 €,2.00 €,4853100,238800
91,avenue blaise pascal,MORANGIS,91420,,,,2.01 €,4869700,233300
91,139 Route de Corbeil,SAINTE-GENEVIèVE-DES-BOIS,91700,1.71 €,,1.79 €,1.99 €,4863900,233400
91,RN 20,Saint-Germain-lès-Arpajon,91180,,,,2.01 €,4860300,224800
91,155 AVENUE DU GENERAL LECLERC,Gif-sur-Yvette,91190,1.53 €,,1.64 €,1.79 €,4870346,210705
91,RN 20,Saint-Germain-lès-Arpajon,91180,,,,,4860322,224866.1
91,61 Rue de Brunoy,QUINCY-SOUS-SéNART,91480,1.51 €,,1.62 €,1.79 €,4867800,252900
91,6 AVENUE DE L EUROPE,DRAVEIL,91210,,,,,4868361.86703,243262.571173
91,105 Avenue de la République,Montgeron,91230,1.74 €,,1.82 €,2.01 €,4870300,246300
91,25 ROUTE D'ORLEANS RN 20,Saint-Germain-lès-Arpajon,91180,1.51 €,,1.62 €,1.80 €,4860302.02056,224724.468927
91,BD DU MARECHAL JUIN,Verrières-le-Buisson,91370,1.73 €,,1.81 €,1.99 €,4875300,227300
91,10 Rue Pierre Brossolette,Chilly-Mazarin,91380,1.90 €,,2.04 €,2.31 €,4869887,230340
91,7 Avenue Pierre Brossolette,Chilly-Mazarin,91380,1.75 €,0.74 €,,2.01 €,4870100,231900
91,70 ROUTE DE CORBEIL,Sainte-Geneviève-des-Bois,91700,1.52 €,,1.63 €,1.78 €,4864218.06,232860.11
91,38 AV DE MORANGIS,ATHIS MONS,91200,1.94 €,,2.08 €,2.13 €,4870600,236900
91,27 AV DU GENERAL LECLERC,Gif-sur-Yvette,91190,1.93 €,,2.07 €,2.19 €,4870300,212800
91,ROUTE NATIONALE 444,Igny,91430,2.02 €,,2.16 €,2.26 €,4873500,222500
91,AV DE GANAY - RN 148,Milly-la-Forêt,91490,1.53 €,0.79 €,,1.79 €,4840737.07208,246799.022236
91,158 RN 7,Viry-Châtillon,91170,1.88 €,,2.02 €,2.27 €,4868400,237600
91,AUTOROUTE A6 - AIRE DE VILLABÉ,VILLABE,91100,1.60 €,0.80 €,,1.86 €,4859400,244400
91,VOIE EXPRESS CD 117,Massy,91300,1.97 €,0.79 €,2.11 €,2.22 €,4873100,224200
91,AUTOROUTE A10 - AIRE DE LIMOURS BRIIS SOUS FORGES,Briis-sous-Forges,91640,1.54 €,0.80 €,,1.80 €,4863477,214756
91,VOIE EXP F6 LIEUDIT BEAUVERT,Marcoussis,91460,1.88 €,,2.02 €,2.26 €,4864800,218900
91,54 Avenue Henri Barbusse,VIGNEUX-SUR-SEINE,91270,1.91 €,,2.05 €,2.31 €,4870000,242000
91,ROUTE NATIONALE 118,Bièvres,91570,1.99 €,,2.13 €,2.26 €,4874788.7484016,219706.02821709
91,ROUTE DE LIMOURS,ARPAJON,91290,,,,,4860000,224000
91,5 RUE DE LA CROIX SAINT JACQUES,LA VILLE-DU-BOIS,91620,1.69 €,,,1.97 €,4867000,227700
91,RN 104 ZI DES CIROLIERS,FLEURY MEROGIS,91700,,,,,4862400,237000
91,RN191 - ROUTE DE CORBEIL,BAULNE,91590,1.55 €,0.78 €,1.66 €,1.78 €,4850700,237442
91,Avenue Camille Desmoulins,JUVISY-SUR-ORGE,91260,1.72 €,0.74 €,,2.00 €,4869500,235600
91,Rue des Lys,ÉTAMPES,91150,1.90 €,,,2.08 €,4844100,213800
91,32 Boulevard Saint-Michel,ÉTAMPES,91150,1.89 €,0.74 €,,2.08 €,4844176,217016
91,2 Route des Gometz,Gif-sur-Yvette,91190,1.94 €,,2.09 €,2.16 €,4868500,212400
91,Route de Fleury,Viry-Châtillon,91170,,,,1.96 €,4866200,237500
91,Rue de la gare,MAROLLES-EN-HUREPOIX,91630,,,1.95 €,2.00 €,4856445,229216
91,AUTOROUTE F 18 - RN 118,SACLAY,91400,,,,,4872300,216800
91,ROUTE DE LA BOELE,Saint-Michel-sur-Orge,91240,1.96 €,,2.10 €,2.33 €,4863000,229700
91,Avenue des Cévennes,Les Ulis,91940,1.89 €,,2.03 €,2.24 €,4867600,217600
91,Route d'Angerville,MéRéVILLE,91660,1.70 €,0.74 €,,1.99 €,4831300,207600
91,17 RUE ARCHANGE,ORSAY,91400,,0.75 €,,1.79 €,4869762,218628
91,N191  Boulevard Charles de Gaulle,Mennecy,91540,1.89 €,,2.01 €,2.12 €,4856600,244200
91,RN118,Bièvres,91570,1.54 €,,,1.80 €,4874637,219666
91,ROUTE DE PARIS RN 118,SACLAY,91400,1.54 €,,,1.80 €,4873361.2697635,217479.67838002
91,RUE SIGMUND FREUD,CORBEIL,91100,1.55 €,0.78 €,,1.80 €,4860800,244900
91,RUE DE LONGJUMEAU RUE AMPERE,Chilly-Mazarin,91380,1.93 €,,2.05 €,2.29 €,4871300,229800
91,RN 6,Montgeron,91230,1.88 €,,2.02 €,2.14 €,4869100,245400
91,LE BUISSON RONDEAU,Breuillet,91650,1.68 €,,1.77 €,2.01 €,4856900,216300
91,ROUTE de Corbeil,ÉPINAY-SUR-ORGE,91360,,,,,4866764.153721,233436.5708351
91,Rue de Corbeil,LISSES,91090,1.77 €,,,1.99 €,4859900,243100
91,RN 104 Aire Des Chevreaux,Saint-Germain-lès-Corbeil,91250,1.85 €,0.80 €,1.99 €,2.25 €,4863000,248700
91,LIEUDIT BUTTE DE GRAVOIS RN104,Saint-Germain-lès-Corbeil,91250,1.88 €,,2.02 €,2.20 €,4863100,248600
91,Route Nationale 188 déviée,Champlan,91160,,,,,4871846.545,226945.1
91,F6 VOIE EXPRESS FONDS PRES,Marcoussis,91460,1.84 €,,1.98 €,2.25 €,4863800,220200
